Date,Open,High,Low,Close,Volume,Adj Close
2009-08-04,3471.44,3471.44,3471.44,3471.44,000,3471.44
2009-08-03,3462.59,3462.59,3462.59,3462.59,000,3462.59
2009-07-31,3412.06,3412.06,3412.06,3412.06,000,3412.06
2009-07-30,3321.56,3321.56,3321.56,3321.56,000,3321.56
2009-07-29,3266.43,3266.43,3266.43,3266.43,000,3266.43
2009-07-28,3438.37,3438.37,3438.37,3438.37,000,3438.37
2009-07-27,3435.21,3435.21,3435.21,3435.21,000,3435.21
2009-07-24,3372.60,3372.60,3372.60,3372.60,000,3372.60
2009-07-23,3328.49,3328.49,3328.49,3328.49,000,3328.49
2009-07-22,3296.61,3296.61,3296.61,3296.61,000,3296.61
2009-07-21,3213.21,3213.21,3213.21,3213.21,000,3213.21
2009-07-20,3266.92,3266.92,3266.92,3266.92,000,3266.92
2009-07-17,3189.74,3189.74,3189.74,3189.74,000,3189.74
2009-07-16,3183.74,3183.74,3183.74,3183.74,000,3183.74
2009-07-15,3188.55,3188.55,3188.55,3188.55,000,3188.55
2009-07-14,3145.16,3145.16,3145.16,3145.16,000,3145.16
2009-07-13,3080.56,3080.56,3080.56,3080.56,000,3080.56
2009-07-10,3113.93,3113.93,3113.93,3113.93,000,3113.93
2009-07-09,3123.03,3123.03,3123.03,3123.03,000,3123.03
2009-07-08,3080.77,3080.77,3080.77,3080.77,000,3080.77
2009-07-07,3089.45,3089.45,3089.45,3089.45,000,3089.45
2009-07-06,3124.67,3124.67,3124.67,3124.67,000,3124.67
2009-07-03,3088.37,3088.37,3088.37,3088.37,000,3088.37
2009-07-02,3060.25,3060.25,3060.25,3060.25,000,3060.25
2009-07-01,3008.15,3008.15,3008.15,3008.15,000,3008.15
2009-06-30,2959.36,2959.36,2959.36,2959.36,000,2959.36
2009-06-29,2975.31,2975.31,2975.31,2975.31,000,2975.31
2009-06-26,2928.21,2928.21,2928.21,2928.21,000,2928.21
2009-06-25,2925.05,2925.05,2925.05,2925.05,000,2925.05
2009-06-24,2922.30,2922.30,2922.30,2922.30,000,2922.30
2009-06-23,2892.70,2892.70,2892.70,2892.70,000,2892.70
2009-06-22,2896.30,2896.30,2896.30,2896.30,000,2896.30
2009-06-19,2880.49,2880.49,2880.49,2880.49,000,2880.49
2009-06-18,2853.90,2853.90,2853.90,2853.90,000,2853.90
2009-06-17,2810.12,2810.12,2810.12,2810.12,000,2810.12
2009-06-16,2776.02,2776.02,2776.02,2776.02,000,2776.02
2009-06-15,2789.55,2789.55,2789.55,2789.55,000,2789.55
2009-06-12,2743.76,2743.76,2743.76,2743.76,000,2743.76
2009-06-11,2797.32,2797.32,2797.32,2797.32,000,2797.32
2009-06-10,2816.25,2816.25,2816.25,2816.25,000,2816.25
2009-06-09,2787.89,2787.89,2787.89,2787.89,000,2787.89
2009-06-08,2768.34,2768.34,2768.34,2768.34,000,2768.34
2009-06-05,2753.89,2753.89,2753.89,2753.89,000,2753.89
2009-06-04,2767.24,2767.24,2767.24,2767.24,000,2767.24
2009-06-03,2778.59,2778.59,2778.59,2778.59,000,2778.59
2009-06-02,2724.30,2724.30,2724.30,2724.30,000,2724.30
2009-06-01,2721.28,2721.28,2721.28,2721.28,000,2721.28
2009-05-29,2632.93,2632.93,2632.93,2632.93,000,2632.93
2009-05-28,2632.93,2632.93,2632.93,2632.93,000,2632.93
2009-05-27,2632.93,2632.93,2632.93,2632.93,000,2632.93
2009-05-26,2588.57,2588.57,2588.57,2588.57,000,2588.57
2009-05-25,2610.01,2610.01,2610.01,2610.01,000,2610.01
2009-05-22,2597.60,2597.60,2597.60,2597.60,000,2597.60
2009-05-21,2610.62,2610.62,2610.62,2610.62,000,2610.62
2009-05-20,2651.41,2651.41,2651.41,2651.41,000,2651.41
2009-05-19,2676.68,2676.68,2676.68,2676.68,000,2676.68
2009-05-18,2652.78,2652.78,2652.78,2652.78,000,2652.78
2009-05-15,2645.26,2645.26,2645.26,2645.26,000,2645.26
2009-05-14,2639.89,2639.89,2639.89,2639.89,000,2639.89
2009-05-13,2663.77,2663.77,2663.77,2663.77,000,2663.77
2009-05-12,2618.17,2618.17,2618.17,2618.17,000,2618.17
2009-05-11,2579.75,2579.75,2579.75,2579.75,000,2579.75
2009-05-08,2625.65,2625.65,2625.65,2625.65,000,2625.65
2009-05-07,2597.45,2597.45,2597.45,2597.45,000,2597.45
2009-05-06,2592.52,2592.52,2592.52,2592.52,000,2592.52
2009-05-05,2567.34,2567.34,2567.34,2567.34,000,2567.34
2009-05-04,2559.91,2559.91,2559.91,2559.91,000,2559.91
2009-05-01,2477.57,2477.57,2477.57,2477.57,000,2477.57
